fecha_lectura,nombre_parking,plazas_libres,capacidad_total,estado
2026-01-12 21:39:27,Europa,474,591,Open
2026-01-12 21:39:27,Foch,546,620,Open
2026-01-12 21:39:27,Gambetta,202,452,Open
2026-01-12 21:39:27,Gare,321,656,Open
2026-01-12 21:39:27,Triangle,274,434,Open
2026-01-12 21:39:27,Pitot,403,590,Open
2026-01-12 21:39:27,Circe,1173,1200,Open
2026-01-12 21:39:27,Garcia Lorca,389,400,Open
2026-01-12 21:39:27,Mosson,315,328,Open
2026-01-12 21:39:27,Sabines,183,285,Open
2026-01-12 21:39:27,Sablassou,357,379,Open
2026-01-12 21:39:27,Saint Jean Le Sec,238,285,Open
2026-01-12 21:39:27,Euromedecine,111,239,Open
2026-01-12 21:39:27,Occitanie,513,615,Open
2026-01-12 21:39:27,Vicarello,41,64,Open
2026-01-12 21:39:27,Gaumont EST,74,109,Open
2026-01-12 21:39:27,Gaumont OUEST,5,250,Open
2026-01-12 21:39:27,Charles de Gaulle,132,260,Open
2026-01-12 21:39:27,Polygone,1013,1911,Open
2026-01-12 21:39:27,Arc de Triomphe,142,440,Open
2026-01-12 21:39:27,Gaumont-Circe,199,500,Open
2026-01-12 21:52:12,Antigone,147,239,Open
2026-01-12 21:52:12,Comedie,400,664,Open
2026-01-12 21:52:12,Corum,288,480,Open
2026-01-12 21:52:12,Europa,475,591,Open
2026-01-12 21:52:12,Foch,556,620,Open
2026-01-12 21:52:12,Gambetta,201,452,Open
2026-01-12 21:52:12,Gare,324,656,Open
2026-01-12 21:52:12,Triangle,274,434,Open
2026-01-12 21:52:12,Pitot,403,590,Open
2026-01-12 21:52:12,Circe,1178,1200,Open
2026-01-12 21:52:12,Garcia Lorca,390,400,Open
2026-01-12 21:52:12,Mosson,316,328,Open
2026-01-12 21:52:12,Sabines,183,285,Open
2026-01-12 21:52:12,Sablassou,360,379,Open
2026-01-12 21:52:12,Saint Jean Le Sec,238,285,Open
2026-01-12 21:52:12,Euromedecine,111,239,Open
2026-01-12 21:52:12,Occitanie,515,615,Open
2026-01-12 21:52:12,Vicarello,41,64,Open
2026-01-12 21:52:12,Gaumont EST,74,109,Open
2026-01-12 21:52:12,Gaumont OUEST,5,250,Open
2026-01-12 21:52:12,Charles de Gaulle,132,260,Open
2026-01-12 21:52:12,Polygone,1013,1911,Open
2026-01-12 21:52:12,Arc de Triomphe,142,440,Open
2026-01-12 21:52:12,Gaumont-Circe,199,500,Open
